run,camera,previous_frame,frame,tracker_gap_ms,pts_gap_ms,previous_emit_ms,other_camera_tracker_frames,other_cameras
controlled,06e9e5b9,473,474,281.72946,40.001276,0.672608,26,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,b1269e28,436,437,237.185567,50.0,1.006582,21,"{""c7e22c1f"": 4, ""1ac2ffac"": 2, ""e0606b55"": 1, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,e0606b55,521,522,266.721019,39.998404,0.81927,29,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 4}"
controlled,d1f37ed1,522,523,265.223557,39.996802,1.822397,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,521,522,270.427398,39.991524,0.794304,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,569,570,274.319504,40.002895,1.068733,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,569,570,254.501174,40.00236,0.9484,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,570,571,263.150654,40.009428,0.590511,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,617,618,274.035165,39.999197,0.875495,32,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 7}"
controlled,d1f37ed1,617,618,284.220178,40.011025,1.081702,26,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,617,618,273.024412,40.003364,0.82393,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 1}"
controlled,e0606b55,665,666,294.658008,39.997382,1.129844,34,"{""c7e22c1f"": 7, ""b1269e28"": 6, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,665,666,263.941748,40.002863,1.969934,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,665,666,270.64324,40.006775,0.608483,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,713,714,286.517834,40.000345,1.515718,29,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 3}"
controlled,d1f37ed1,713,714,266.775385,39.994738,1.389663,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 0}"
controlled,06e9e5b9,712,713,279.743875,40.000578,2.268463,28,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 2}"
controlled,e0606b55,761,762,280.589522,40.000333,0.908561,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,761,762,269.049466,40.005966,1.277916,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,760,761,276.769556,40.002219,0.989816,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,809,810,263.952264,40.000277,0.817822,32,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 7}"
controlled,d1f37ed1,809,810,278.545396,40.00901,1.22888,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,808,809,280.21563,39.998816,0.960683,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,857,858,271.311975,39.99962,1.741084,26,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 1}"
controlled,d1f37ed1,857,858,276.41213,40.003559,0.6721,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 0}"
controlled,06e9e5b9,853,854,279.673626,40.006576,0.724409,27,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 2}"
controlled,e0606b55,904,905,285.867071,39.99329,2.108718,34,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,905,906,278.182582,40.006001,1.472618,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,901,902,284.251269,40.004957,0.867055,27,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 2}"
controlled,e0606b55,952,953,269.226785,40.00379,0.874533,28,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 3}"
controlled,06e9e5b9,949,950,273.309046,40.003686,2.310186,27,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 1}"
controlled,d1f37ed1,953,954,264.607369,39.987895,0.641883,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 1}"
controlled,e0606b55,1000,1001,286.169231,40.00431,2.655722,33,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 7}"
controlled,06e9e5b9,997,998,254.525658,39.993077,1.047763,23,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,1000,1001,265.046072,39.986002,1.257639,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,1046,1047,279.585633,39.99424,0.823045,34,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,1048,1049,271.916246,39.997345,2.673754,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,1045,1046,272.434748,39.995028,0.927423,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,1094,1095,270.012909,39.999576,0.734642,29,"{""c7e22c1f"": 6, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 5, ""06e9e5b9"": 6}"
controlled,06e9e5b9,1092,1093,284.031426,39.992129,1.127566,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""d1f37ed1"": 1}"
