camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
d1f37ed1,6,1790072084271,637721284990818,,,,,0.081951,3.228059,4.808175,1.498165,25.657412
c7e22c1f,18,1790072084272,637721285088982,3,0,355.8,0.7,0.117943,2.020329,3.689227,1.550955,25.953766
e0606b55,8,1790072084276,637721289234541,,,,,0.074213,1.487095,2.116601,0.555293,15.115669
06e9e5b9,6,1790072084281,637721294585923,,,,,0.148918,0.401728,1.292489,0.741843,25.970089
1ac2ffac,12,1790072084312,637721325446462,,,,,0.11606,0.199672,1.262378,0.946646,40.751267
c7e22c1f,19,1790072084338,637721351136479,3,0,355.8,0.7,0.26563,1.555712,2.942904,1.121562,66.047497
d1f37ed1,7,1790072084338,637721351232095,,,,,0.123384,1.221817,2.410762,1.065561,66.241277
06e9e5b9,7,1790072084343,637721356472093,,,,,0.208974,4.384288,5.771905,1.178643,61.88617
e0606b55,10,1790072084343,637721356774045,,,,,0.066951,0.204853,1.658823,1.387019,67.539504
b1269e28,9,1790072084343,637721356886623,,,,,0.044021,3.211306,4.707762,1.452435,83.048151
1ac2ffac,13,1790072084343,637721356958330,,,,,0.037494,2.627331,4.141439,1.476614,31.511868
06e9e5b9,8,1790072084354,637721367087917,,,,,0.109929,2.135442,3.632748,1.387377,10.615824
c7e22c1f,20,1790072084354,637721367190942,3,0,355.8,0.7,0.13107,1.018176,2.501164,1.351918,16.054463
d1f37ed1,8,1790072084358,637721371943557,,,,,0.094897,4.46479,5.486834,0.927147,20.711462
b1269e28,10,1790072084359,637721372157016,,,,,0.091618,0.482698,1.602851,1.028535,15.270393
1ac2ffac,14,1790072084384,637721397347681,1,0,161.1,31.7,0.116536,1.366179,2.26798,0.785265,40.389351
06e9e5b9,9,1790072084416,637721429514835,,,,,0.119662,2.161658,9.766073,7.484753,62.426918
c7e22c1f,21,1790072084416,637721429602944,3,0,355.8,0.7,0.07376,1.908131,9.393853,7.411962,62.412002
b1269e28,11,1790072084416,637721429666702,,,,,0.097324,1.2455,8.733554,7.39073,57.509686
e0606b55,11,1790072084416,637721429702119,,,,,0.194977,0.507593,8.075569,7.372999,72.928074
d1f37ed1,9,1790072084416,637721429738377,,,,,0.104584,4.948732,7.31044,2.257124,57.79482
c7e22c1f,22,1790072084425,637721438812655,3,0,355.8,0.7,0.160505,4.895759,6.121832,1.065568,9.209711
1ac2ffac,15,1790072084425,637721438911916,1,0,161.1,31.7,0.172238,4.40223,5.607752,1.033284,41.564235
d1f37ed1,10,1790072084430,637721443651954,,,,,0.105124,3.581701,4.315395,0.62857,13.913577
e0606b55,12,1790072084451,637721464164754,,,,,0.157845,3.135153,4.002045,0.709047,34.462635
