phase,metric,n,mean,p95,p99,maximum
live,power_w,76,115.77631578947368,122.0,124.0,124.0
live,temperature_c,76,63.19736842105263,67.0,68.0,68.0
live,sm_percent,76,87.19736842105263,94.0,95.0,95.0
live,mem_percent,76,30.605263157894736,35.0,36.0,36.0
live,decode_percent,76,5.105263157894737,6.0,9.0,9.0
live,vram_mb,76,3699.3684210526317,3791.0,3791.0,3791.0
