kind,camera,camera_name,tracker_objects,targets,decoder_objects,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,queue_wait_ms,9,18.7533,17.7368,44.0228,44.0228,44.0228
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,segment_wall_ms,9,102.1674,105.6776,116.0708,116.0708,116.0708
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,t0_t1_ms,9,19.354,18.4404,44.6918,44.6918,44.6918
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,t1_t2_last_ms,9,96.1741,93.6426,113.0818,113.0818,113.0818
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,tracker_to_rgba_ms,9,0.1824,0.182,0.3071,0.3071,0.3071
frame,06e9e5b9,Cam góc rộng toàn sân,3,,,copy_wall_ms,157,0.4754,0.3042,1.4759,1.903,1.9211
frame,06e9e5b9,Cam góc rộng toàn sân,3,,,tracker_to_rgba_ms,227,0.2965,0.1876,1.1085,1.5986,2.268
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,copy_wall_ms,1,0.2316,0.2316,0.2316,0.2316,0.2316
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,decoder_cuda_ms,1,41.0873,41.0873,41.0873,41.0873,41.0873
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,encoder_cuda_ms,1,9.5859,9.5859,9.5859,9.5859,9.5859
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,identity_verify_cuda_ms,1,3.9843,3.9843,3.9843,3.9843,3.9843
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,memory_encode_cuda_ms,1,5.2252,5.2252,5.2252,5.2252,5.2252
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,polygon_postprocess_host_ms,1,1.5178,1.5178,1.5178,1.5178,1.5178
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,queue_wait_ms,1,9.0403,9.0403,9.0403,9.0403,9.0403
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,segment_wall_ms,1,68.1677,68.1677,68.1677,68.1677,68.1677
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,t0_t1_ms,1,9.5615,9.5615,9.5615,9.5615,9.5615
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,t1_t2_last_ms,1,63.1974,63.1974,63.1974,63.1974,63.1974
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,3,tracker_to_rgba_ms,1,0.1608,0.1608,0.1608,0.1608,0.1608
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,copy_wall_ms,1,0.2352,0.2352,0.2352,0.2352,0.2352
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,decoder_cuda_ms,1,60.7625,60.7625,60.7625,60.7625,60.7625
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,encoder_cuda_ms,1,6.4473,6.4473,6.4473,6.4473,6.4473
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,identity_verify_cuda_ms,1,9.332,9.332,9.332,9.332,9.332
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,memory_encode_cuda_ms,1,12.5184,12.5184,12.5184,12.5184,12.5184
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,polygon_postprocess_host_ms,1,5.213,5.213,5.213,5.213,5.213
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,queue_wait_ms,1,22.2263,22.2263,22.2263,22.2263,22.2263
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,segment_wall_ms,1,104.9645,104.9645,104.9645,104.9645,104.9645
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,t0_t1_ms,1,22.8376,22.8376,22.8376,22.8376,22.8376
