camera,frame_num,previous_frame,tracker_gap_ms,pts_gap_ms,gap_type,warmup
c7e22c1f,2,1,172.946,39.699,streaming_transport_gap,True
c7e22c1f,3,2,207.055,438.89,sensor_drop_gap,True
c7e22c1f,4,3,245.187,159.99,sensor_drop_gap,True
c7e22c1f,5,4,288.185,40.0,streaming_transport_gap,True
c7e22c1f,6,5,337.67,40.0,streaming_transport_gap,True
c7e22c1f,7,6,686.794,999.999,sensor_drop_gap,True
1ac2ffac,1,0,402.044,200.0,sensor_drop_gap,True
b1269e28,1,0,785.406,271.815,sensor_drop_gap,True
c7e22c1f,8,7,677.789,279.996,sensor_drop_gap,True
d1f37ed1,1,0,1203.902,279.997,sensor_drop_gap,True
e0606b55,1,0,1476.558,279.967,sensor_drop_gap,True
1ac2ffac,2,1,985.791,40.0,streaming_transport_gap,True
b1269e28,2,1,1110.291,47.748,streaming_transport_gap,True
c7e22c1f,9,8,1118.996,39.999,streaming_transport_gap,True
d1f37ed1,2,1,1157.565,41.0,streaming_transport_gap,True
e0606b55,2,1,1197.499,39.995,streaming_transport_gap,True
06e9e5b9,1,0,1409.971,40.0,streaming_transport_gap,True
1ac2ffac,3,2,1412.912,40.0,streaming_transport_gap,True
b1269e28,3,2,1548.919,48.315,streaming_transport_gap,True
c7e22c1f,10,9,1537.74,39.999,streaming_transport_gap,True
d1f37ed1,3,2,1580.207,39.0,streaming_transport_gap,True
e0606b55,3,2,1618.721,39.995,streaming_transport_gap,True
06e9e5b9,2,1,1724.337,40.0,streaming_transport_gap,True
1ac2ffac,4,3,1720.341,40.0,streaming_transport_gap,True
b1269e28,4,3,1819.083,48.849,streaming_transport_gap,True
c7e22c1f,11,10,1820.033,359.995,sensor_drop_gap,True
d1f37ed1,4,3,1854.855,40.0,streaming_transport_gap,True
e0606b55,4,3,1893.599,359.96,sensor_drop_gap,True
06e9e5b9,3,2,1985.797,360.0,sensor_drop_gap,True
1ac2ffac,5,4,1985.673,40.0,streaming_transport_gap,True
b1269e28,5,4,2116.879,49.221,streaming_transport_gap,True
c7e22c1f,12,11,2101.408,879.989,sensor_drop_gap,True
d1f37ed1,5,4,2163.054,320.0,sensor_drop_gap,True
e0606b55,5,4,2217.139,39.996,streaming_transport_gap,True
06e9e5b9,4,3,2345.762,40.0,streaming_transport_gap,True
1ac2ffac,6,5,2345.923,40.0,streaming_transport_gap,True
b1269e28,6,5,2423.135,49.522,streaming_transport_gap,False
c7e22c1f,13,12,2426.605,40.0,streaming_transport_gap,False
d1f37ed1,6,5,2455.669,920.034,sensor_drop_gap,False
e0606b55,6,5,2484.165,839.917,sensor_drop_gap,False
06e9e5b9,5,4,2556.012,960.0,sensor_drop_gap,False
1ac2ffac,7,6,2557.675,40.0,streaming_transport_gap,False
b1269e28,7,6,2729.971,49.712,streaming_transport_gap,False
c7e22c1f,14,13,2744.529,840.06,sensor_drop_gap,False
d1f37ed1,7,6,2779.14,1000.181,sensor_drop_gap,False
e0606b55,7,6,2824.145,1199.73,sensor_drop_gap,False
06e9e5b9,6,5,2908.263,1400.061,sensor_drop_gap,False
1ac2ffac,8,7,2907.112,40.0,streaming_transport_gap,False
b1269e28,8,7,2880.926,49.845,streaming_transport_gap,False
c7e22c1f,15,14,2866.685,1920.216,sensor_drop_gap,False
d1f37ed1,8,7,2863.454,1599.969,sensor_drop_gap,False
e0606b55,8,7,2855.885,1599.786,sensor_drop_gap,False
06e9e5b9,7,6,2926.1,1680.105,sensor_drop_gap,False
1ac2ffac,9,8,2926.242,40.0,streaming_transport_gap,False
b1269e28,9,8,2952.889,49.919,streaming_transport_gap,False
c7e22c1f,16,15,2960.595,1440.206,sensor_drop_gap,False
d1f37ed1,9,8,2973.812,1840.023,sensor_drop_gap,False
e0606b55,9,8,2990.83,1920.068,sensor_drop_gap,False
06e9e5b9,8,7,3047.621,2000.237,sensor_drop_gap,False
1ac2ffac,10,9,3051.497,40.0,streaming_transport_gap,False
b1269e28,10,9,3064.949,49.822,streaming_transport_gap,False
c7e22c1f,17,16,3061.199,2080.084,sensor_drop_gap,False
d1f37ed1,10,9,3060.678,2440.05,sensor_drop_gap,False
e0606b55,10,9,3062.396,2200.013,sensor_drop_gap,False
06e9e5b9,9,8,3126.77,2320.007,sensor_drop_gap,False
1ac2ffac,11,10,3130.197,40.0,streaming_transport_gap,False
b1269e28,11,10,3256.678,49.922,streaming_transport_gap,False
c7e22c1f,18,17,3312.274,2440.308,sensor_drop_gap,False
