camera,frame_num,previous_frame,tracker_gap_ms,pts_gap_ms,gap_type,warmup
d1f37ed1,11,10,3357.096,2199.646,sensor_drop_gap,False
e0606b55,11,10,3404.67,2640.037,sensor_drop_gap,False
06e9e5b9,10,9,3529.255,2599.823,sensor_drop_gap,False
1ac2ffac,12,11,3523.687,40.0,streaming_transport_gap,False
b1269e28,12,11,3484.548,49.97,streaming_transport_gap,False
c7e22c1f,19,18,3461.486,2760.378,sensor_drop_gap,False
d1f37ed1,12,11,3453.457,2759.997,sensor_drop_gap,False
e0606b55,12,11,3441.318,2680.057,sensor_drop_gap,False
06e9e5b9,11,10,3430.396,2919.883,sensor_drop_gap,False
1ac2ffac,13,12,3435.254,40.001,streaming_transport_gap,False
b1269e28,13,12,3477.978,49.99,streaming_transport_gap,False
c7e22c1f,20,19,3476.517,2840.097,sensor_drop_gap,False
d1f37ed1,13,12,3484.138,2879.899,sensor_drop_gap,False
e0606b55,13,12,3481.459,2839.89,sensor_drop_gap,False
06e9e5b9,12,11,3553.334,2920.091,sensor_drop_gap,False
1ac2ffac,14,13,3551.773,40.001,streaming_transport_gap,False
b1269e28,14,13,3601.296,49.997,streaming_transport_gap,False
c7e22c1f,21,20,3562.361,2959.861,sensor_drop_gap,False
d1f37ed1,14,13,3557.541,2960.196,sensor_drop_gap,False
e0606b55,14,13,3554.845,2999.983,sensor_drop_gap,False
06e9e5b9,13,12,3534.386,3039.996,sensor_drop_gap,False
1ac2ffac,15,14,3532.151,40.001,streaming_transport_gap,False
c7e22c1f,22,21,2356.467,3079.857,sensor_drop_gap,False
d1f37ed1,15,14,2357.995,3080.135,sensor_drop_gap,False
e0606b55,15,14,2364.808,3080.145,sensor_drop_gap,False
06e9e5b9,14,13,2349.904,3160.202,sensor_drop_gap,False
1ac2ffac,16,15,2354.87,40.001,streaming_transport_gap,False
c7e22c1f,23,22,2365.942,3320.136,sensor_drop_gap,False
d1f37ed1,16,15,2324.136,3360.356,sensor_drop_gap,False
e0606b55,16,15,2319.396,4440.038,sensor_drop_gap,False
06e9e5b9,15,14,2332.533,3720.241,sensor_drop_gap,False
1ac2ffac,17,16,2331.976,40.001,streaming_transport_gap,False
c7e22c1f,24,23,2341.808,3439.742,sensor_drop_gap,False
d1f37ed1,17,16,2374.877,3560.179,sensor_drop_gap,False
e0606b55,17,16,2372.861,2399.95,sensor_drop_gap,False
06e9e5b9,16,15,2309.901,3199.82,sensor_drop_gap,False
1ac2ffac,18,17,2307.686,40.001,streaming_transport_gap,False
c7e22c1f,25,24,2254.059,3879.968,sensor_drop_gap,False
d1f37ed1,18,17,2221.546,3360.409,sensor_drop_gap,False
e0606b55,18,17,2174.638,3559.911,sensor_drop_gap,False
06e9e5b9,17,16,2123.913,3519.926,sensor_drop_gap,False
1ac2ffac,19,18,2114.404,40.001,streaming_transport_gap,False
c7e22c1f,26,25,1928.425,3159.839,sensor_drop_gap,False
d1f37ed1,19,18,1724.06,3959.214,sensor_drop_gap,False
e0606b55,19,18,1529.025,3439.966,sensor_drop_gap,False
06e9e5b9,18,17,988.562,3559.658,sensor_drop_gap,False
1ac2ffac,20,19,970.168,40.001,streaming_transport_gap,False
c7e22c1f,27,26,970.492,2399.912,sensor_drop_gap,False
d1f37ed1,20,19,968.306,1959.69,sensor_drop_gap,False
e0606b55,20,19,966.111,2560.106,sensor_drop_gap,False
06e9e5b9,19,18,960.051,2360.005,sensor_drop_gap,False
1ac2ffac,21,20,959.74,40.001,streaming_transport_gap,False
c7e22c1f,28,27,956.722,2320.141,sensor_drop_gap,False
d1f37ed1,21,20,955.657,2320.031,sensor_drop_gap,False
e0606b55,21,20,957.619,2160.182,sensor_drop_gap,False
06e9e5b9,20,19,981.245,2319.623,sensor_drop_gap,False
1ac2ffac,22,21,981.983,40.001,streaming_transport_gap,False
c7e22c1f,29,28,994.616,2360.12,sensor_drop_gap,False
d1f37ed1,22,21,997.863,2399.862,sensor_drop_gap,False
e0606b55,22,21,996.79,2359.926,sensor_drop_gap,False
06e9e5b9,21,20,973.513,2280.178,sensor_drop_gap,False
1ac2ffac,23,22,972.521,40.001,streaming_transport_gap,False
c7e22c1f,30,29,960.128,2239.879,sensor_drop_gap,False
d1f37ed1,23,22,956.271,2200.053,sensor_drop_gap,False
e0606b55,23,22,957.241,2160.021,sensor_drop_gap,False
06e9e5b9,22,21,962.649,2160.151,sensor_drop_gap,False
1ac2ffac,24,23,963.239,40.001,streaming_transport_gap,False
c7e22c1f,31,30,976.198,1919.801,sensor_drop_gap,False
d1f37ed1,24,23,988.822,1800.223,sensor_drop_gap,False
e0606b55,24,23,993.891,1520.118,sensor_drop_gap,False
06e9e5b9,23,22,995.987,960.091,sensor_drop_gap,False
1ac2ffac,25,24,996.237,40.001,streaming_transport_gap,False
c7e22c1f,32,31,996.094,960.009,sensor_drop_gap,False
d1f37ed1,25,24,984.783,880.027,sensor_drop_gap,False
e0606b55,25,24,978.801,960.112,sensor_drop_gap,False
06e9e5b9,24,23,994.178,960.079,sensor_drop_gap,False
1ac2ffac,26,25,993.959,40.041,streaming_transport_gap,False
c7e22c1f,33,32,983.287,959.939,sensor_drop_gap,False
d1f37ed1,26,25,987.649,1120.045,sensor_drop_gap,False
e0606b55,26,25,1006.279,960.214,sensor_drop_gap,False
06e9e5b9,25,24,1000.301,999.961,sensor_drop_gap,False
1ac2ffac,27,26,1000.004,40.04,streaming_transport_gap,False
c7e22c1f,34,33,998.082,1000.042,sensor_drop_gap,False
d1f37ed1,27,26,992.501,840.169,sensor_drop_gap,False
e0606b55,27,26,972.581,999.977,sensor_drop_gap,False
06e9e5b9,26,25,956.266,960.005,sensor_drop_gap,False
1ac2ffac,28,27,956.02,40.013,streaming_transport_gap,False
c7e22c1f,35,34,955.166,960.214,sensor_drop_gap,False
d1f37ed1,28,27,957.631,1160.18,sensor_drop_gap,False
e0606b55,28,27,960.171,959.969,sensor_drop_gap,False
06e9e5b9,27,26,959.426,960.2,sensor_drop_gap,False
1ac2ffac,29,28,959.244,40.013,streaming_transport_gap,False
c7e22c1f,36,35,962.909,1000.173,sensor_drop_gap,False
d1f37ed1,29,28,961.056,800.121,sensor_drop_gap,False
e0606b55,29,28,959.931,999.965,sensor_drop_gap,False
06e9e5b9,28,27,959.619,1000.207,sensor_drop_gap,False
1ac2ffac,30,29,959.993,40.012,streaming_transport_gap,False
c7e22c1f,37,36,958.106,1000.049,sensor_drop_gap,False
d1f37ed1,30,29,958.761,1200.224,sensor_drop_gap,False
e0606b55,30,29,958.575,999.961,sensor_drop_gap,False
06e9e5b9,29,28,958.255,1000.045,sensor_drop_gap,False
1ac2ffac,31,30,958.261,40.006,streaming_transport_gap,False
c7e22c1f,38,37,957.427,960.041,sensor_drop_gap,False
d1f37ed1,31,30,957.072,760.125,sensor_drop_gap,False
e0606b55,31,30,957.048,999.964,sensor_drop_gap,False
06e9e5b9,30,29,981.312,1000.022,sensor_drop_gap,False
1ac2ffac,32,31,1140.522,40.006,streaming_transport_gap,False
c7e22c1f,39,38,980.483,999.955,sensor_drop_gap,False
d1f37ed1,32,31,979.935,1240.12,sensor_drop_gap,False
e0606b55,32,31,979.625,959.925,sensor_drop_gap,False
06e9e5b9,31,30,957.651,959.978,sensor_drop_gap,False
c7e22c1f,40,39,948.842,959.849,sensor_drop_gap,False
d1f37ed1,33,32,946.969,720.058,sensor_drop_gap,False
e0606b55,33,32,947.855,959.939,sensor_drop_gap,False
06e9e5b9,32,31,943.325,959.994,sensor_drop_gap,False
c7e22c1f,41,40,940.635,959.911,sensor_drop_gap,False
d1f37ed1,34,33,945.458,1240.091,sensor_drop_gap,False
e0606b55,34,33,956.412,999.998,sensor_drop_gap,False
06e9e5b9,33,32,961.874,960.014,sensor_drop_gap,False
c7e22c1f,42,41,964.406,960.079,sensor_drop_gap,False
d1f37ed1,35,34,970.157,680.06,sensor_drop_gap,False
e0606b55,35,34,969.245,919.98,sensor_drop_gap,False
06e9e5b9,34,33,986.54,959.861,sensor_drop_gap,False
c7e22c1f,43,42,994.558,960.143,sensor_drop_gap,False
d1f37ed1,36,35,997.432,959.891,sensor_drop_gap,False
e0606b55,36,35,1011.159,1080.008,sensor_drop_gap,False
06e9e5b9,35,34,1052.518,959.867,sensor_drop_gap,False
c7e22c1f,44,43,1063.498,960.103,sensor_drop_gap,False
d1f37ed1,37,36,1078.499,959.859,sensor_drop_gap,False
e0606b55,37,36,1086.281,880.032,sensor_drop_gap,False
06e9e5b9,36,35,1077.052,959.876,sensor_drop_gap,False
c7e22c1f,45,44,1105.966,959.851,sensor_drop_gap,False
d1f37ed1,38,37,1175.75,959.868,sensor_drop_gap,False
e0606b55,38,37,1239.267,1120.011,sensor_drop_gap,False
06e9e5b9,37,36,1464.086,999.892,sensor_drop_gap,False
c7e22c1f,46,45,1530.197,959.86,sensor_drop_gap,False
d1f37ed1,39,38,1648.214,959.886,sensor_drop_gap,False
e0606b55,39,38,1765.873,759.982,sensor_drop_gap,False
06e9e5b9,38,37,2050.347,919.935,sensor_drop_gap,False
c7e22c1f,47,46,2119.713,959.909,sensor_drop_gap,False
d1f37ed1,40,39,2102.472,959.942,sensor_drop_gap,False
e0606b55,40,39,2084.348,1439.966,sensor_drop_gap,False
06e9e5b9,39,38,2051.498,1080.114,sensor_drop_gap,False
c7e22c1f,48,47,2049.092,1000.029,sensor_drop_gap,False
d1f37ed1,41,40,2051.824,999.967,sensor_drop_gap,False
e0606b55,41,40,2054.526,559.982,sensor_drop_gap,False
06e9e5b9,40,39,2061.293,960.094,sensor_drop_gap,False
c7e22c1f,49,48,2059.869,1080.202,sensor_drop_gap,False
d1f37ed1,42,41,2068.504,1079.967,sensor_drop_gap,False
e0606b55,42,41,2077.808,1239.973,sensor_drop_gap,False
06e9e5b9,41,40,2108.909,1080.048,sensor_drop_gap,False
c7e22c1f,50,49,2127.769,1080.143,sensor_drop_gap,False
d1f37ed1,43,42,2131.983,1159.932,sensor_drop_gap,False
e0606b55,43,42,2138.323,1080.206,sensor_drop_gap,False
06e9e5b9,42,41,2141.068,1480.073,sensor_drop_gap,False
c7e22c1f,51,50,2137.857,1520.039,sensor_drop_gap,False
d1f37ed1,44,43,2138.782,1639.753,sensor_drop_gap,False
e0606b55,44,43,2135.161,1759.667,sensor_drop_gap,False
06e9e5b9,43,42,2160.695,2040.004,sensor_drop_gap,False
c7e22c1f,52,51,2164.538,2119.862,sensor_drop_gap,False
d1f37ed1,45,44,2156.281,2120.082,sensor_drop_gap,False
e0606b55,45,44,2151.469,2079.893,sensor_drop_gap,False
06e9e5b9,44,43,2192.032,2040.01,sensor_drop_gap,False
c7e22c1f,53,52,2232.52,2079.729,sensor_drop_gap,False
d1f37ed1,46,45,2290.365,2400.005,sensor_drop_gap,False
e0606b55,46,45,2338.263,2040.044,sensor_drop_gap,False
06e9e5b9,45,44,2375.921,2080.064,sensor_drop_gap,False
c7e22c1f,54,53,2366.021,2039.845,sensor_drop_gap,False
d1f37ed1,47,46,2357.479,1719.885,sensor_drop_gap,False
e0606b55,47,46,2355.938,2080.021,sensor_drop_gap,False
06e9e5b9,46,45,2343.102,2320.241,sensor_drop_gap,False
c7e22c1f,55,54,2301.848,2120.215,sensor_drop_gap,False
d1f37ed1,48,47,2295.342,2119.877,sensor_drop_gap,False
e0606b55,48,47,2288.863,2160.17,sensor_drop_gap,False
06e9e5b9,47,46,2300.322,2000.27,sensor_drop_gap,False
c7e22c1f,56,55,2347.622,2159.928,sensor_drop_gap,False
d1f37ed1,49,48,2335.734,2120.234,sensor_drop_gap,False
e0606b55,49,48,2334.244,2120.05,sensor_drop_gap,False
06e9e5b9,48,47,2332.026,2080.065,sensor_drop_gap,False
c7e22c1f,57,56,2335.057,2160.098,sensor_drop_gap,False
d1f37ed1,50,49,2347.273,2160.426,sensor_drop_gap,False
e0606b55,50,49,2360.716,2160.179,sensor_drop_gap,False
06e9e5b9,49,48,2382.584,2200.291,sensor_drop_gap,False
c7e22c1f,58,57,2393.349,2280.347,sensor_drop_gap,False
d1f37ed1,51,50,2386.834,2320.138,sensor_drop_gap,False
e0606b55,51,50,2364.634,2520.605,sensor_drop_gap,False
06e9e5b9,50,49,2320.792,2359.922,sensor_drop_gap,False
c7e22c1f,59,58,2316.033,2320.091,sensor_drop_gap,False
d1f37ed1,52,51,2311.057,2359.504,sensor_drop_gap,False
e0606b55,52,51,2321.493,2159.77,sensor_drop_gap,False
06e9e5b9,51,50,2357.964,2359.36,sensor_drop_gap,False
c7e22c1f,60,59,2344.06,2279.863,sensor_drop_gap,False
d1f37ed1,53,52,2357.859,2359.818,sensor_drop_gap,False
e0606b55,53,52,2361.045,2319.611,sensor_drop_gap,False
06e9e5b9,52,51,2348.131,2279.851,sensor_drop_gap,False
c7e22c1f,61,60,2351.586,2359.74,sensor_drop_gap,False
d1f37ed1,54,53,2351.512,2239.884,sensor_drop_gap,False
e0606b55,54,53,2355.254,2320.078,sensor_drop_gap,False
06e9e5b9,53,52,2381.131,2359.804,sensor_drop_gap,False
c7e22c1f,62,61,2381.675,2319.892,sensor_drop_gap,False
d1f37ed1,55,54,2381.734,2360.195,sensor_drop_gap,False
e0606b55,55,54,2388.077,2360.094,sensor_drop_gap,False
06e9e5b9,54,53,2387.698,2360.139,sensor_drop_gap,False
c7e22c1f,63,62,2399.844,2400.151,sensor_drop_gap,False
d1f37ed1,56,55,2409.617,2399.922,sensor_drop_gap,False
e0606b55,56,55,2401.389,2360.085,sensor_drop_gap,False
06e9e5b9,55,54,2361.897,2320.168,sensor_drop_gap,False
c7e22c1f,64,63,2349.082,2320.108,sensor_drop_gap,False
d1f37ed1,57,56,2330.243,2280.166,sensor_drop_gap,False
e0606b55,57,56,2330.748,2479.66,sensor_drop_gap,False
