epoch_ms,name,duration_ms
1790073006040.7002,Cam 4,0
1790073006040.8,Cam trong khu làm việc,0
1790073006040.8,Cam trong khu làm việc,0
1790073006057.1,Cam Dahua Ch2 Fixed,0.19999992847442627
1790073006057.3,Cam Dahua Ch2 Fixed,0
1790073006057.3,Cam hướng ra cửa,0
1790073006057.3,Cam hướng ra cửa,0
1790073006073.7002,Cam hik 1,0.20000004768371582
1790073006073.9001,Cam hik 1,0
1790073006073.9001,Cam góc rộng toàn sân,0
1790073006073.9001,Cam góc rộng toàn sân,0
1790073006090.4001,Cam 4,0.20000004768371582
1790073006090.6,Cam 4,0.09999990463256836
1790073006090.7002,Cam Dahua Ch2 Fixed,0
1790073006090.7002,Cam Dahua Ch2 Fixed,0
1790073006090.7002,Cam trong khu làm việc,0.10000002384185791
1790073006090.8,Cam trong khu làm việc,0
1790073006107.2002,Cam hướng ra cửa,0.20000004768371582
1790073006107.4001,Cam hướng ra cửa,0
1790073006123.7002,Cam hik 1,0.20000004768371582
1790073006123.9001,Cam hik 1,0
1790073006123.9001,Cam góc rộng toàn sân,0
1790073006123.9001,Cam góc rộng toàn sân,0
1790073006140.5,Cam Dahua Ch2 Fixed,0.10000002384185791
1790073006140.6,Cam Dahua Ch2 Fixed,0
1790073006140.6,Cam trong khu làm việc,0
1790073006140.6,Cam trong khu làm việc,0
1790073006140.6,Cam hướng ra cửa,0
1790073006140.6,Cam hướng ra cửa,0
1790073006157.1,Cam hik 1,0.19999992847442627
1790073006157.3,Cam hik 1,0
1790073006157.3,Cam góc rộng toàn sân,0
1790073006157.3,Cam góc rộng toàn sân,0
1790073006157.3,Cam 4,0
1790073006157.3,Cam 4,0.10000002384185791
1790073006173.7002,Cam Dahua Ch2 Fixed,0.20000004768371582
1790073006173.9001,Cam Dahua Ch2 Fixed,0
1790073006190.4001,Cam trong khu làm việc,0.10000002384185791
1790073006190.5,Cam trong khu làm việc,0
1790073006207.1,Cam hướng ra cửa,0.09999990463256836
1790073006207.2002,Cam hướng ra cửa,0
1790073006207.2002,Cam hik 1,0
1790073006207.2002,Cam hik 1,0
1790073006207.2002,Cam góc rộng toàn sân,0
1790073006207.2002,Cam góc rộng toàn sân,0
1790073006207.2002,Cam 4,0
1790073006207.2002,Cam 4,0.10000002384185791
1790073006223.7002,Cam Dahua Ch2 Fixed,0.10000002384185791
1790073006223.8,Cam Dahua Ch2 Fixed,0
1790073006240.3,Cam 4,0.20000004768371582
