camera,source_frame,output_frame,object_id,total_ms,cache_attach_ms,next_tracker_ms,tracker_frames_before_attach,epoch_ms
b1269e28,2314,2318,258791973882344,325.558501,198.665666,197.582224,1,1790073129528.625
e0606b55,2819,2820,116454320966922,282.40608,180.332039,179.652386,1,1790073131671.793
d1f37ed1,2781,2782,215686623484377,290.030273,230.441415,229.803538,1,1790073131757.664
e0606b55,2915,2916,116454320966922,282.036884,205.051597,204.585904,1,1790073135678.947
06e9e5b9,2891,2892,138493342419992,290.237113,251.028484,248.306103,1,1790073135756.434
06e9e5b9,2891,2892,203145721272521,290.243273,222.986671,220.25813,1,1790073135756.434
06e9e5b9,2891,2892,105989861701223,290.246575,197.672235,194.940392,1,1790073135756.434
06e9e5b9,3029,3036,203145721272521,368.316956,185.144207,181.110426,1,1790073141683.072
e0606b55,3155,3156,116454320966922,282.8177,184.166091,183.104341,1,1790073145674.287
06e9e5b9,3318,3319,138493342419992,276.739455,247.518542,246.406923,1,1790073153756.374
06e9e5b9,3318,3319,203145721272521,276.749913,224.396551,223.274474,1,1790073153756.374
06e9e5b9,3318,3319,105989861701223,276.757665,193.43086,192.301031,1,1790073153756.374
06e9e5b9,3412,3413,138493342419992,280.718728,222.54246,221.270997,1,1790073157755.902
06e9e5b9,3412,3413,203145721272521,280.729486,191.218414,189.936193,1,1790073157755.902
