phase,camera,metric,n,mean,p95,p99,maximum
build_steady,e0606b55,t0_t3_ms,650,109.26189408307692,281.10485,287.164582,294.199154
build_steady,e0606b55,decoder_cuda_ms,1287,13.083936783539388,23.174528121948242,27.402048110961914,128.3992919921875
build_steady,c7e22c1f,t0_t1_ms,1362,25.59296372613803,62.424645,95.171268,117.363253
build_steady,c7e22c1f,t1_t2_ms,1362,32.829147430983845,62.695433,85.448661,152.785186
build_steady,c7e22c1f,t2_t3_ms,833,33.756122291716686,61.072098,117.277069,244.805726
build_steady,c7e22c1f,t0_t3_ms,833,90.6970373277311,150.21566,188.485849,320.890283
build_steady,c7e22c1f,decoder_cuda_ms,1362,13.36182525907144,23.42438316345215,28.295711517333984,121.90316772460938
build_steady,b1269e28,t0_t1_ms,3782,30.79129951665785,77.108338,121.888952,192.370499
build_steady,b1269e28,t1_t2_ms,3782,70.11840869592808,135.41005,165.970067,287.339829
build_steady,b1269e28,t2_t3_ms,3000,39.997520769666664,84.032982,116.854937,224.845187
build_steady,b1269e28,t0_t3_ms,3000,129.48672635933335,203.651674,274.232261,366.572523
build_steady,b1269e28,decoder_cuda_ms,3782,14.005844881268546,23.424320220947266,27.490175247192383,114.84556579589844
build_steady,1ac2ffac,t0_t1_ms,240,26.2670017625,61.670476,119.097094,192.934588
build_steady,1ac2ffac,t1_t2_ms,240,24.345999375,39.670698,46.320061,55.720675
build_steady,1ac2ffac,decoder_cuda_ms,240,12.90814109146595,21.729280471801758,26.031967163085938,29.439903259277344
build_steady,d1f37ed1,t0_t1_ms,754,28.442404899204245,74.536549,170.333436,246.623969
build_steady,d1f37ed1,t1_t2_ms,754,29.62756082228117,53.679916,62.754876,153.563151
build_steady,d1f37ed1,t2_t3_ms,359,43.70904971866295,161.340867,238.959364,257.502401
build_steady,d1f37ed1,t0_t3_ms,359,97.23573389415041,280.499188,291.613751,320.814623
build_steady,d1f37ed1,decoder_cuda_ms,754,12.744400788365372,22.07811164855957,27.07356834411621,29.586015701293945
build_steady,06e9e5b9,t0_t1_ms,2360,28.058000404237287,81.792159,144.839776,227.259416
build_steady,06e9e5b9,t1_t2_ms,2360,53.22167533262712,99.103547,120.755968,191.354715
build_steady,06e9e5b9,t2_t3_ms,1968,40.907229361788616,138.313179,213.682114,262.962304
build_steady,06e9e5b9,t0_t3_ms,1968,115.93754849237804,280.521924,289.249941,368.32592
build_steady,06e9e5b9,decoder_cuda_ms,2360,14.440780639446388,24.38368034362793,29.12860870361328,35.53148651123047
