camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
c7e22c1f,25,1790073013966,638650979581561,3,0,6.3,0.5,0.23619,3.75969,5.277427,1.281547,41.362111
e0606b55,25,1790073013966,638650979761851,2,1,48.3,49.3,0.182825,3.003626,4.566144,1.379693,281.243051
b1269e28,3,1790073013977,638650990267388,,,,,0.279186,3.677843,5.475282,1.518253,42.056747
1ac2ffac,4,1790073013992,638651005483556,,,,,0.135695,4.672485,5.646045,0.837865,47.017924
c7e22c1f,26,1790073013992,638651005584329,3,0,6.3,0.5,0.140216,3.999553,4.967121,0.827352,26.002768
e0606b55,26,1790073013998,638651011214890,2,1,48.3,49.3,0.344826,0.331155,1.984595,1.308614,31.453039
b1269e28,4,1790073014014,638651027105096,,,,,0.286734,1.802079,3.70007,1.611257,36.837708
1ac2ffac,5,1790073014034,638651047751395,1,0,158.3,0.5,0.146033,3.648591,4.892264,1.09764,42.267839
c7e22c1f,27,1790073014034,638651047977662,3,0,6.3,0.5,0.23677,1.548291,2.986802,1.201741,42.393333
d1f37ed1,0,1790073014045,638651058880056,,,,,0.095208,4.46136,6.438645,1.882077,
e0606b55,27,1790073014045,638651059005727,2,1,48.3,49.3,0.32434,3.249547,5.440041,1.866154,47.790837
06e9e5b9,0,1790073014050,638651063532939,,,,,0.130215,1.597493,2.69904,0.971332,
b1269e28,5,1790073014057,638651070483410,,,,,0.426313,3.601563,6.765547,2.737671,43.378314
1ac2ffac,6,1790073014067,638651080354509,1,0,158.3,0.5,0.166686,4.574957,5.568322,0.826679,32.603114
e0606b55,28,1790073014073,638651086306151,2,1,48.3,49.3,0.31447,4.321938,6.222483,1.586075,27.300424
c7e22c1f,28,1790073014073,638651086945239,3,0,6.3,0.5,0.101272,3.439186,5.418128,1.87767,38.967577
d1f37ed1,1,1790073014074,638651087086521,,,,,0.145942,2.279294,4.297947,1.872711,28.206465
